,city_id,city_name,lat,lon,date,time,temperature,feels_like,humidity,weather_type,description,wind_speed,precipitation
64,2978640,St-Malo,48.6495,-2.026,2023-09-20,15:00:00,21.52,21.42,65,Clouds,broken clouds,12.3,0.0
65,2978640,St-Malo,48.6495,-2.026,2023-09-20,18:00:00,19.52,19.54,77,Clouds,overcast clouds,11.53,0.19
66,2978640,St-Malo,48.6495,-2.026,2023-09-20,21:00:00,17.7,17.95,93,Rain,moderate rain,10.77,0.95
67,2978640,St-Malo,48.6495,-2.026,2023-09-21,00:00:00,17.3,17.38,88,Rain,moderate rain,7.11,1.0
68,2978640,St-Malo,48.6495,-2.026,2023-09-21,03:00:00,15.49,15.31,85,Clouds,overcast clouds,5.55,0.25
69,2978640,St-Malo,48.6495,-2.026,2023-09-21,06:00:00,14.21,13.85,83,Clouds,overcast clouds,5.71,0.21
70,2978640,St-Malo,48.6495,-2.026,2023-09-21,09:00:00,16.23,15.84,74,Rain,light rain,8.12,0.44
71,2978640,St-Malo,48.6495,-2.026,2023-09-21,12:00:00,18.27,17.67,58,Rain,light rain,10.14,0.83
72,2978640,St-Malo,48.6495,-2.026,2023-09-21,15:00:00,16.83,16.32,67,Rain,light rain,9.51,1.0
73,2978640,St-Malo,48.6495,-2.026,2023-09-21,18:00:00,15.99,15.29,63,Rain,light rain,8.2,0.99
74,2978640,St-Malo,48.6495,-2.026,2023-09-21,21:00:00,13.87,13.27,75,Clouds,overcast clouds,7.24,0.05
75,2978640,St-Malo,48.6495,-2.026,2023-09-22,00:00:00,13.59,13.07,79,Clouds,overcast clouds,8.42,0.07
76,2978640,St-Malo,48.6495,-2.026,2023-09-22,03:00:00,13.83,13.33,79,Clouds,broken clouds,9.02,0.12
77,2978640,St-Malo,48.6495,-2.026,2023-09-22,06:00:00,13.72,13.31,83,Clouds,broken clouds,9.62,0.26
78,2978640,St-Malo,48.6495,-2.026,2023-09-22,09:00:00,16.31,15.82,70,Rain,light rain,12.0,0.52
79,2978640,St-Malo,48.6495,-2.026,2023-09-22,12:00:00,17.4,16.87,64,Rain,light rain,11.77,0.56
80,3034483,Bayeux,49.2765,-0.7025,2023-09-17,15:00:00,24.14,24.2,61,Rain,light rain,4.86,0.5
81,3034483,Bayeux,49.2765,-0.7025,2023-09-17,18:00:00,23.46,23.56,65,Rain,light rain,3.67,0.67
82,3034483,Bayeux,49.2765,-0.7025,2023-09-17,21:00:00,19.51,19.68,83,Rain,moderate rain,6.4,1.0
83,3034483,Bayeux,49.2765,-0.7025,2023-09-18,00:00:00,16.91,17.03,91,Rain,moderate rain,5.39,1.0
84,3034483,Bayeux,49.2765,-0.7025,2023-09-18,03:00:00,15.37,15.42,94,Rain,light rain,4.95,0.37
